Feature,Mean |SHAP|,Std |SHAP|
12,0.6599322018388114,0.5622747151612539
1,0.3669130543752783,0.5159637483389643
4,0.2920137134350708,0.572419626578616
5,0.2899566785957088,0.41699845688421433
159,0.2605335531551184,0.6468486755931806
146,0.2586562997417351,0.3588167884572473
10,0.21363149373561957,0.2822766128247734
11,0.17358898346542656,0.24678986386710217
241,0.16444083214227276,0.336672698818336
240,0.15294003260418845,0.43074017692323774
225,0.14728084809144232,0.3513462895434214
232,0.12623874520637357,0.3030643912756398
215,0.12606164699374808,0.2838940664001479
174,0.12568923767602797,0.2612224838209068
3,0.11561562696362576,0.30871859348714314
9,0.10918854340715362,0.3455571408414943
227,0.10814434442765011,0.24326469811247955
207,0.10588717792870589,0.2693760481925311
132,0.09855327079544657,0.2506512123493587
228,0.09280556450275305,0.22854576145306052
197,0.09136841203353199,0.29733157649068137
163,0.08172676618635628,0.26285087462677903
236,0.08000612550566062,0.3694988271720952
8,0.07621156547453743,0.24685335747490963
201,0.07479437344291263,0.2646738647084166
50,0.06815264382861812,0.19252056040895493
195,0.06455871034196628,0.18831810939546884
170,0.0642841357567421,0.207041667526479
164,0.063880852120425,0.2710252965705895
168,0.05784764379496443,0.17965684765739615
169,0.05078406557180206,0.18960851060087075
161,0.04908478548067875,0.16418715211375318
199,0.04543303386421236,0.31818264157122245
87,0.04537930881174602,0.640153928347027
2,0.03798011726929245,0.14733528379500754
126,0.03398853942289975,0.1343049071762421
231,0.03393332087637774,0.1509403645017549
167,0.03333868705716576,0.12125816251206442
237,0.0321781774651351,0.2214274208041644
26,0.025972963942483288,0.3663937449459938
6,0.023272974475448457,0.0947905855049952
7,0.01894715066659698,0.0850092485098723
178,0.01742674452390152,0.17428139755958524
0,0.016377948470018597,0.08045023250532496
242,0.015679011455151482,0.2211796750199789
234,0.01268444530589801,0.17893612097881553
154,0.009391453463437094,0.13248275447402608
222,0.006550148256413786,0.09240121208089812
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
160,0.0,0.0
172,0.0,0.0
162,0.0,0.0
165,0.0,0.0
166,0.0,0.0
171,0.0,0.0
155,0.0,0.0
129,0.0,0.0
131,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
173,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
141,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
216,0.0,0.0
130,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
223,0.0,0.0
224,0.0,0.0
226,0.0,0.0
244,0.0,0.0
229,0.0,0.0
230,0.0,0.0
233,0.0,0.0
217,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
203,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
196,0.0,0.0
198,0.0,0.0
200,0.0,0.0
202,0.0,0.0
187,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
235,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
54,0.0,0.0
238,0.0,0.0
239,0.0,0.0
243,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
39,0.0,0.0
24,0.0,0.0
25,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
23,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
69,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
127,0.0,0.0
128,0.0,0.0
113,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
99,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
83,0.0,0.0
